TradeId,Expiry,CP,2weeks2Mat,Strike,LocalCap,Book,Notional,PresentValueT0,assetId,deltaT0,gammaT0,vegaT0,PresentValueT1,deltaT1,gammaT1,vegaT1,dPx,ddelta,dgamma,dvega
1053408,2025-07-02,ZTES,112,1431.86,9.8,AXALIAB,10000000,693994.8294,.RUT,156 ,20.32,-94119.50,690855.29,95.47,0.19,-104567.82,0.000313954,6.03408E-06,2.01269E-06,0.001044832
1053411,2026-07-01,ZTES,138,1431.86,11,AXALIAB,10000000,1097935.132,.RUT,171 ,144.29,-121031.20,1116495.46,100.04,2.19,-115835.39,-0.001856033,7.08861E-06,1.42099E-05,-0.000519581
1058369,2025-07-16,ZTES,113,1467.564,9.7,AXALIAB,10000000,666616.3033,.RUT,200 ,25.61,-101556.63,682098.93,129.84,-0.30,-110113.80,-0.001548262,7.02719E-06,2.59099E-06,0.000855716
1058373,2026-07-15,ZTES,139,1467.564,11,AXALIAB,10000000,1088224.658,.RUT,14 ,-12.55,-112027.92,1078221.38,133.38,3.92,-79110.14,0.001000327,-1.19873E-05,-1.64715E-06,-0.003291778
1065150,2025-08-06,ZTES,115,1544.624,8.8,AXALIAB,10000000,499458.5277,.RUT,219 ,1.25,-105917.12,466167.35,164.39,-0.81,-106996.92,0.003329118,5.42264E-06,2.05988E-07,0.00010798
1065153,2026-08-05,ZTES,141,1544.624,11,AXALIAB,10000000,1073589.275,.RUT,199 ,8.78,-115426.61,1095692.74,209.94,12.62,-118213.46,-0.002210347,-1.11218E-06,-3.83546E-07,0.000278685
1069042,2026-08-19,ZTES,142,1564.301,11,AXALIAB,10000000,1112416.132,.RUT,(627),-167.13,-132507.95,1094905.20,224.74,-3.88,-113732.86,0.001751093,-8.51625E-05,-1.63245E-05,-0.001877509
1069043,2025-08-20,ZTES,116,1564.301,8.1,AXALIAB,10000000,337590.8684,.RUT,111 ,-70.97,-106929.77,343267.64,169.26,0.09,-102194.35,-0.000567677,-5.84184E-06,-7.10573E-06,-0.000473543
1073006,2025-09-03,ZTES,117,1544.68,8.9,AXALIAB,10000000,508531.3873,.RUT,267 ,15.03,-96728.48,533112.56,217.68,-2.92,-110899.85,-0.002458117,4.88929E-06,1.79502E-06,0.001417136
1073014,2026-09-02,ZTES,143,1544.68,10,AXALIAB,10000000,881666.9109,.RUT,510 ,58.59,-84121.66,897130.44,192.72,21.45,-114323.93,-0.001546353,3.17401E-05,3.71438E-06,0.003020226
1078016,2025-09-17,ZTES,118,1542.598,8.3,AXALIAB,10000000,398741.6718,.RUT,173 ,26.83,-107548.22,405448.55,186.16,-0.71,-101345.29,-0.000670687,-1.28726E-06,2.75441E-06,-0.000620294
1078022,2026-09-16,ZTES,144,1542.598,10,AXALIAB,10000000,902654.2154,.RUT,430 ,104.40,-108069.40,903825.77,219.11,-0.98,-121355.19,-0.000117156,2.10608E-05,1.05382E-05,0.001328579
1083845,2025-10-01,ZTES,119,1531.202,8.5,AXALIAB,10000000,451880.8197,.RUT,239 ,5.88,-104238.52,464001.18,219.02,-0.51,-107097.20,-0.001212036,1.96389E-06,6.39285E-07,0.000285868
